ppn;identifier
419732128;
419732128;
340280514;
340280514;
240350928;
240350928;
291125778;
274581558;
295013923;
236450980;
238498867;
282404279;
395983711;
333482794;
239816811;
230389791;
238828581;
281886172;
292315392;
25818938X;
38394113X;
236206222;
231578512;
291364772;
265016339;
238854221;
268037752;
326477780;
252143345;
296080349;
267817274;
380730057;
375159037;
377260061;
229942628;
296617008;
234572906;
241088526;
40020567X;
216293081;
304935999;
237997525;
213018187;
339552220;
228044421;
390774405;
261817876;
280021240;
261817744;
314964754;
33953172X;
324099886;
292201982;
24177585X;
290482224;
254847072;
354905171;
322748054;
244019444;
224193422;
23037218X;
264976274;
376176644;
218186789;
296211850;
272603937;
270828346;
408746599;
240289404;
217639631;
271451939;
287747948;
292533926;
240791215;
245846921;
340280328;
329216597;
400621789;
357242432;
242063160;
329175424;
384018122;
343669900;
363916016;
29068059X;
27260366X;
272601772;
212372629;
260334472;
274515458;
277892651;
227914708;
240885201;
256561338;
328840017;
317231367;
322032296;
375362487;
296394017;
383625629;
393349845;
416717683;
263688208;
25831737X;
380729989;
400620782;
212819771;
341046701;
355061740;
317655132;
26820716X;
318159198;
400857596;
281931984;
215998987;
318723344;
236114174;
410533653;
252644565;
242492215;
305491210;
241029872;
297279424;
315298995;
25185454X;
272602833;
336560540;
397830335;
227868080;
29102114X;
264809076;
256391254;
322955459;
292091133;
397140282;
265007011;
255813392;
265414792;
409619280;
217236936;
214066878;
343061457;
401116425;
239282205;
262246171;
377510467;
339507926;
264792181;
408429208;
376054638;
416797202;
306268434;
413237281;
291546064;
338798404;
315545607;
291580629;
278568688;
310197384;
392742098;
393516326;
228097614;
241745756;
406385505;
310616867;
271388595;
379244594;
239459024;
268589690;
231594690;
402439856;
240174933;
245820043;
418035393;
25491540X;
29779986X;
269407871;
214104060;
22941155X;
383482933;
29601849X;
403972388;
410532320;
239394569;
304481556;
321235479;
399350004;
292004052;
295881542;
402447808;
264132181;
397088124;
305248707;
322508193;
229312802;
253696003;
398475601;
271400609;
322524342;
255144792;
275089835;
353021970;
413391450;
413391450;rug-oai-pure.rug.nl-publications_89d47b7d-981e-4292-9377-11cc1e3482a0
30032622X;
237496100;
255156111;
326364099;
263334716;
303493658;
408321741;
296024856;
240084543;
401462994;
401153010;
297348442;
315726296;
299321436;
26502658X;
35780435X;
371576423;
270269169;
244832463;
274785854;
249982889;
238365727;
380672715;
296326291;
383034906;
308426096;
271530650;
268419000;
370498151;
296213675;
265016312;
38201765X;
392171333;
31571154X;
229919189;
297028243;
239564618;
281975450;
291447120;
288672690;
303158271;
292621892;
246017120;
356190765;
351176519;
236508407;
272901164;
292132719;
297263927;
344763781;
291125166;
243057695;
36440020X;
321247396;
298731851;
258255013;
287553248;
268254362;
229830919;
297155970;
288212355;
334084075;
288113802;
352976039;
270478493;
270299157;
235261149;
255808968;
265520401;
404076890;
292332793;
318101866;
237861186;
370725921;
242907997;
29633880X;
315228687;
326804005;
255984383;
269719377;
244021635;
239403363;
331245353;
240908295;
394246667;
393620433;
355335042;
237271311;
29871602X;
35119195X;
230212948;
240635159;
230406270;
304552038;
237495562;
297198475;
279909772;
252344359;
418932840;
411287982;
252042670;
241772036;
29429404X;
416441459;
34343606X;
216415829;
215700287;
265251540;
242811337;
289099358;
239092619;
305849484;
217206476;
291133762;
285636472;
248072455;
217515819;
301170266;
26444762X;
23966342X;
240967437;
410523658;
277284554;
389922102;
338685677;
268912602;
230403271;
401650154;
306245353;
239286669;
354070975;
383784344;
306247402;
26797017X;
296837989;
372638511;
234572442;
23787525X;
371134714;
21331410X;
298352680;
274532727;
297371940;
212930044;
306665417;
374651388;
245003452;
337711445;
320308421;
258983418;
375779469;
282341803;
343036665;
383004438;
333124499;
408817550;
326681809;
238502511;
310239710;
294881190;
351240586;
296449334;
413547590;
214202364;
256343357;
295887680;
322886600;
230416489;
383156637;
315695668;
345880110;
296764108;
238262324;
237116626;
279575874;
249549123;
401177963;
400925737;
240669193;
392696142;
329251546;
290833760;
242823416;
260535990;
301797234;
274032252;
398106061;
302321063;
243315643;
377045810;
260054518;
281974780;
304965391;
352098333;
357359755;
236441159;
34141591X;
396053300;
229842798;
241345782;
281884064;
252781120;
230179371;
292561261;
32132191X;
274733641;
292544839;
362925739;
281978816;
235671681;
288561554;
264577493;
234933615;
29723370X;
402422546;
372649750;
322527503;
238000699;
304965359;
357130642;
264849256;
407933328;
267385889;
286830663;
242064639;
256541310;
216430445;
25617489X;
228080037;
370154150;
25515576X;
29768177X;
353539201;
252363671;
369431820;
416172814;
39913655X;
408057017;
253688159;
264463579;
291007651;
401549038;
398530645;
288658027;
294702989;
299147916;
239090527;
402328272;
253706106;
212821679;
274024934;
345896696;
273455893;
297209116;
269254803;
268574340;
271615923;
28755807X;
260279455;
216892449;
315353066;
406782822;
297271393;
310604419;
217024289;
212757792;
278809049;
314739068;
406626227;
314250018;
278562809;
282418601;
291076246;
216582679;
299106756;
297641050;
382638875;
227458362;
216542030;
314860657;
28796714X;
293048975;
409227781;
333868536;
328675172;
267774206;
250117339;
295847166;
383731968;
397790910;
249556782;
255732430;
300942206;
328253995;
268251193;
297759892;
274571552;
277142644;
308343654;
228091837;
224232975;
288823265;
395989035;
399144722;
314636684;
297350072;
230381537;
370422015;
243595247;
27135156X;
308356179;
288260228;
230417299;
33006357X;
292475101;
288960467;
29886312X;
273870211;
404063993;
417041519;
288053311;
345878973;
397176457;
296787779;
236418114;
31074363X;
216093724;
217994598;
308377494;
216267056;
245819681;
272603430;
338347186;
34304045X;
337879583;
25019211X;
294963200;
402334450;
244694966;
310507529;
256175640;
288578120;
270484760;
241603706;
315711299;
255166044;
250179571;
230277756;
241829658;
413969533;
299299066;
25595624X;
292956762;
213342286;
288210719;
402104757;
230417744;
297621653;
218042825;
24258473X;
245893911;
290839092;
306137011;
303041897;
412859505;
252271300;
355341964;
24034264X;
217985815;
298549913;
39778922X;
297285424;
297604449;
304660701;
413339408;
252347099;
33442982X;
37552956X;
398115958;
303041463;
268623341;
410499668;
417387857;
24288346X;
327689501;
287922561;
363235655;
270124802;
292382049;
217558720;
404076955;
364542284;
35731221X;
346055431;
281975620;
275886980;
413349969;
32164140X;
352268182;
317302655;
364007222;
328232920;
304796441;
320750671;
24459063X;
239477812;
291078664;
300145233;
294274774;
262664615;
418763054;
244860025;
291003605;
338997555;
228181143;
255808089;
33803384X;
216017319;
317324179;
260055433;
343042711;
413124738;
400620839;
364254718;
312672705;
270766170;
264450299;
318616637;
328742015;
267161611;
239523415;
290917891;
395394619;
375898212;
244181624;
297633449;
231990596;
29056428X;
340565292;
302559728;
33870695X;
216302188;
306661071;
246150785;
271413026;
318875330;
265418453;
291398278;
246865199;
265251753;
345884914;
398826021;
416597572;
29256094X;
298301296;
235245313;
380241528;
236118749;
238605469;
268593450;
317788167;
264178734;
303202734;
329216279;
256207712;
30108694X;
298574586;
369172612;
253177197;
298826690;
228174570;
254848133;
242563503;
327096500;
33900875X;
266996981;
264449495;
297567985;
264596633;
269230998;
243146639;
305090690;
38205699X;
217178928;
288510712;
315457627;
291363008;
230213561;
370574036;
261608894;
298167735;
376019921;
268254133;
345909038;
371232775;
254862632;
315446862;
291496229;
252316479;
342164201;
255745729;
298439506;
290424658;
21646661X;
236391844;
406747075;
269856714;
230382827;
244220611;
300326904;
403996678;
230219209;
239221478;
326982663;
371522129;
216402328;
398514437;
295847956;
265252822;
238135195;
276958306;
241276608;
242400205;
355188406;
397202342;
231575262;
249956195;
296090700;
244159769;
37704802X;
242148425;
315276096;
402491297;
21564574X;
215838106;
212636146;
217400450;
419244476;
234762179;
254709958;
216577543;
391331477;
24478213X;
216097584;
369494377;
268407649;
217687482;
386096317;
26858950X;
305741837;
289016673;
227903366;
413722627;
296113026;
242879020;
395395542;
339503394;
297264044;
275167038;
377256676;
256358893;
245881719;
216295033;
276826906;
333679040;
241745071;
242484298;
322162459;
213062453;
353830607;
272736937;
35782637X;
299037088;
419842802;
420945903;
264788338;
254870198;
333292677;
239559584;
327854162;
371551617;
29911693X;
288213572;
267777337;
269128514;
217644457;
242391923;
326362142;
282405631;
298714833;
269772413;
232670803;
418764131;
400906333;
242450865;
233096671;
305411896;
258977590;
229845576;
217638929;
420686851;
310485851;
305230174;
214212092;
23003134X;
310750792;
298955393;
30548799X;
408348097;
339017503;
242449360;
238853780;
358193079;
242260810;
255814399;
328745308;
297351885;
396050700;
413151905;
343152789;
244175160;
292197535;
321186494;
243041810;
396542425;
227408179;
412852675;
243985762;
290884098;
271544511;
264466055;
249345765;
298932636;
264616340;
318854805;
27027152X;
244836485;
298326752;
240320964;
245878890;
267152760;
298458446;
213152657;
324244843;
370110099;
39192818X;
410560995;
375898425;
337232199;
408811080;
394727363;
275088693;
263328678;
265539560;
285492519;
373496214;
239003292;
407631208;
357936280;
216440904;
217694373;
250175681;
238659933;
262000490;
320755967;
264578481;
338688307;
241187516;
403925517;
345898990;
281978476;
275864006;
338114963;
254850421;
262482924;
384041477;
242330703;
297677195;
240757513;
318870010;
373506341;
227537777;
237400294;
285531948;
273314211;
230179355;
395393213;
270326677;
395607272;
227615557;
270254617;
298731894;
289024064;
242616542;
377510769;
322511542;
338042504;
213775654;
230411223;
296201499;
238234894;
291143415;
421013699;
343278340;
241702216;
265446619;
296179523;
416674801;
229831532;
377044105;
229521363;
232005214;
274452960;
260059420;
30448167X;
260142859;
363134344;
396566154;
242586767;
28814080X;
241477549;
242384129;
33880417X;
403855748;
364409320;
216897769;
241062314;
338646280;
239555368;
288068971;
294569006;
371745411;
305369970;
264446305;
239588614;
399373764;
222461578;
281885761;
269782540;
269910360;
238152286;
375214755;
326402780;
305302566;
390623547;
241797470;
30311584X;
289035805;
29122461X;
262194422;
238378020;
238361047;
271350539;
239585224;
256096236;
305502271;
287803376;
410532436;
413697592;
370328329;
244400148;
24256741X;
297347292;
297282735;
275394700;
262601885;
331320746;
278572367;
270926380;
292548125;
227900065;
23737904X;
327614463;
246877294;
386101671;
297534548;
237494566;
296213977;
287558347;
377043443;
239729676;
242969488;
278592775;
228044405;
242611796;
241255651;
331239558;
288378695;
260095397;
418986290;
27414509X;
321873114;
290886562;
244183112;
244183449;
229727638;
262418711;
270082433;
278752659;
25656034X;
296881791;
338253076;
413267938;
304187755;
268205728;
236323083;
327689846;
322805236;
28562671X;
35277598X;
319018377;
241298172;
369654420;
264089804;
308162765;
322262941;
324099835;
380510081;
256258473;
35490485X;
377045748;
256560676;
294893083;
297635816;
354081217;
241305373;
35719909X;
289025222;
408792434;
343143682;
241857481;
329679708;
337626081;
239098919;
244163391;
250274744;
244266158;
244220808;
246016868;
23891867X;
287742458;
229847625;
328991554;
248078151;
393197905;
369485068;
292744390;
230416209;
250111594;
244276366;
295869275;
228172918;
256227373;
298119668;
331323087;
216434092;
245930272;
393806596;
237500418;
324984405;
267791771;
264761235;
277933811;
332194574;
213034662;
357806514;
40820219X;
241478383;
24134199X;
230372813;
294267018;
308168984;
357819195;
334562309;
228232767;
395258227;
39115947X;
288069676;
267755430;
264572459;
377251631;
278577385;
27638055X;
242882870;
229649939;
241033063;
339126612;
291124933;
315946040;
26823096X;
269080988;
230383378;
332308804;
21783812X;
370828844;
298792591;
229831877;
23931736X;
393852709;
240822471;
339136332;
24133960X;
241416094;
213354454;
332868303;
271539623;
240967534;
29129491X;
21786175X;
41058262X;
249565897;
400900637;
289038006;
264589955;
291399487;
275818128;
218162898;
411984187;
322519195;
28755841X;
252181549;
241475481;
269522859;
32217306X;
262600137;
322743486;
327434732;
216581605;
255812213;
240269322;
244146942;
262247291;
290515416;
250183951;
274460858;
387173498;
239490630;
27685618X;
268787662;
255169949;
364128011;
227231295;
255818157;
327113545;
356349349;
290696488;
260094706;
369269918;
291066321;
239365542;
329612239;
329163183;
244833141;
272577448;
275884953;
357484851;
401413705;
238190382;
290875242;
324088639;
355332086;
241416221;
306162024;
41285869X;
353989452;
371532361;
297799835;
263613275;
279176406;
291128629;
401133028;
234966831;
343265826;
245864520;
315202602;
250279207;
227588975;
265595673;
288587138;
371114772;
216909872;
250184664;
326892710;
288517466;
375914595;
314970363;
255740654;
220297312;
410246824;
285546546;
408726946;
352158603;
393508145;
258238771;
292561059;
254956130;
260609889;
274124424;
231030800;
413918882;
339551933;
260278017;
292918615;
292092350;
419678743;
263848361;
263624501;
332028445;
293019835;
230207928;
250122057;
252179234;
292373856;
317891359;
289043514;
264790456;
41086997X;
264761960;
229741789;
33080491X;
334371015;
213761211;
252238109;
267384904;
262486822;
332917169;
23850784X;
242484492;
308426517;
291130909;
383160456;
30336324X;
403970741;
22776384X;
212682547;
291364985;
291491596;
375286977;
306012782;
230415350;
288126866;
314636862;
40522642X;
314520414;
297823957;
241475120;
338691367;
282405720;
308122046;
262445611;
303652659;
326117318;
298119013;
242521991;
263804623;
262908883;
239094077;
326482016;
255796080;
273344552;
288561279;
239060520;
240934040;
298573490;
387174052;
339136111;
27797710X;
297353640;
294991360;
237491613;
275850064;
24587657X;
317414925;
374887292;
298718650;
333039084;
289039746;
236186485;
260329347;
249396599;
251798143;
257566112;
339808519;
387205926;
408832444;
387240411;
25484281X;
290849926;
27135013X;
419504990;
333848373;
322613973;
241391881;
243004044;
24222802X;
330189980;
401354164;
264470761;
287968596;
277933994;
298887320;
315205210;
260332518;
23498208X;
332389324;
252042867;
303002549;
21641895X;
278629172;
269416412;
412999935;
408189142;
234762608;
357754204;
217381154;
278642608;
408044055;
37704248X;
27154547X;
396124968;
230410413;
330521802;
337879281;
303800305;
285548948;
38377196X;
306199157;
392060582;
334046564;
291545165;
244146861;
292825730;
303185473;
258809612;
327690178;
241258278;
278582192;
244152160;
25124590X;
28755435X;
232673691;
23878617X;
22938532X;
272912689;
241909511;
318671034;
234674334;
334347890;
316084999;
315396229;
282345434;
308074211;
392054159;
238888134;
375162879;
393314804;
291036333;
242578071;
214223604;
289038847;
268245789;
330638106;
419732756;
419732756;
419732756;
419732756;
286856581;
314238786;
293909911;
302308342;
29932110X;
323942296;
407522719;
297408038;
241627796;
264802527;
376028890;
244781524;
249170892;
239584473;
244175438;
25834959X;
220290113;
26248658X;
297368664;
322893461;
261607685;
255741855;
32288666X;
401628744;
318860880;
38404381X;
234594462;
33224590X;
411088351;
330356356;
293037124;
29084018X;
23740074X;
255742290;
351090371;
323066585;
282344233;
238983749;
23882800X;
240241835;
329319620;
236334204;
297839861;
243204574;
231604807;
250192020;
256561982;
393620018;
407885102;
242085156;
339378123;
387279431;
252174437;
39826774X;
213276542;
261610910;
37015424X;
217695582;
407815686;
39989148X;
395197155;
239520211;
241188768;
298828251;
279893256;
336303696;
289025370;
274051451;
337058768;
401621391;
352783966;
282353143;
252656830;
297208993;
28933019X;
304873616;
244019649;
241170141;
261818198;
333850300;
255146973;
229908829;
328570834;
242563007;
238270386;
212983660;
278584047;
387206027;
411470787;
270484620;
387134816;
271324848;
285643371;
230385338;
391173669;
338196455;
31500584X;
262218666;
255810695;
407755160;
270266852;
352855649;
262436744;
286830981;
322790662;
297345699;
245929207;
227457021;
333945816;
400916223;
229661009;
24483332X;
264610857;
383422388;
420768513;
330670344;
370154088;
407676678;
393617289;
242347215;
244191581;
408046120;
398397848;
216219280;
291065821;
34154454X;
260633305;
228040132;
363436804;
412865130;
395400732;
25018995X;
292375182;
40407698X;
26862478X;
364540869;
217541232;
267988222;
377252719;
273313355;
255162588;
220297495;
387171959;
295847727;
240820118;
240927109;
240319559;
24402099X;
242485413;
238947378;
343215799;
292741243;
298732521;
302254420;
276812883;
29253552X;
239479181;
31571123X;
408399600;
305121448;
270275207;
265031788;
265016606;
268890099;
303705051;
235692565;
245603751;
32270846X;
260300578;
255734697;
317791540;
298440288;
294212477;
333180070;
218142242;
230063624;
334367603;
217378552;
389989959;
271256168;
377046108;
317610023;
326892540;
265519926;
298467216;
291262554;
24252804X;
229871216;
240988493;
334479568;
254865178;
252230795;
325675643;
397603398;
278579507;
269243615;
334091756;
318837269;
240912403;
242870066;
371051169;
274460173;
290918944;
343318032;
298760479;
33964253X;
256307520;
268588430;
260633259;
25485527X;
310582946;
230174574;
375226885;
332051641;
340567384;
256594759;
236559788;
25216640X;
244781796;
241908906;
289003830;
25490002X;
401405192;
29800108X;
370828453;
290870348;
242867693;
392793555;
242666736;
345913868;
353829757;
270749586;
262478684;
282419195;
244835292;
228159288;
321704649;
315711388;
270297294;
297763334;
239221826;
262860368;
229644082;
288557050;
371546400;
270044086;
401395596;
290514916;
213605287;
242042988;
230403166;
250260077;
35302144X;
302963650;
353575399;
244837260;
275094219;
265013453;
240551176;
274430843;
315243252;
293052867;
40397075X;
27009248X;
292535228;
242102956;
402121651;
24145655X;
354875671;
235263141;
364369159;
215705319;
273371770;
322046645;
267568452;
293048886;
333293053;
235237663;
408042354;
257388389;
317230395;
316630780;
243444796;
256326746;
217635350;
303202645;
289493684;
290890101;
267581343;
288577833;
237494256;
275120651;
407520805;
240548663;
413872831;
240859871;
315444495;
29776084X;
341034320;
292560818;
214209792;
271390336;
293048797;
292561385;
341272639;
298325292;
228027837;
375901051;
330585800;
297788051;
216875633;
39278937X;
242329861;
241611156;
238014959;
364322608;
387133747;
40831060X;
391321897;
292715048;
278754295;
245829490;
239751175;
408764333;
261613480;
243267231;
345812999;
237974509;
304407437;
291450997;
304334073;
412833441;
288131134;
246874678;
271412356;
264187318;
257386386;
292750919;
241615461;
258982713;
322530784;
323949428;
213546760;
256273073;
341116092;
341737518;
305512935;
30595251X;
343306514;
418972249;
289001269;
291275214;
323184804;
357480996;
277945054;
411275011;
217425445;
237383691;
352861215;
41285760X;
390693154;
218056788;
351176195;
353021288;
264583280;
212978101;
250119617;
408347708;
239383281;
297069705;
267368410;
323592058;
288260554;
255166966;
22808489X;
345687752;
278562795;
281976120;
260055204;
383679281;
238210960;
270266941;
295877111;
273369423;
22770343X;
291290027;
402290356;
227937988;
331115751;
387120793;
222448490;
24821599X;
255737017;
303099364;
255814313;
212683918;
34167513X;
290849632;
331838214;
288070976;
218235968;
215808606;
371567378;
267780427;
369390598;
40900894X;
290778573;
290839238;
285598333;
299309908;
217277624;
325554056;
314435247;
263635872;
297497553;
337718113;
227587804;
410494607;
222387734;
21236264X;
314482709;
413926966;
26525180X;
394727347;
263680355;
339593571;
376054816;
323947190;
296946214;
29938263X;
29938389X;
22758936X;
288989317;
307980898;
217036414;
250116871;
289039428;
231038909;
269054472;
291375162;
408775122;
369439503;
291133436;
252268253;
318887452;
300355246;
397734115;
38198995X;
30788435X;
242382886;
238973530;
413549631;
26363678X;
217645437;
393806804;
343048205;
290483662;
240600150;
269487069;
305028464;
374569983;
250189496;
308415574;
282343229;
292750471;
282419462;
408797525;
408797525;
408797525;rug-oai-pure.rug.nl-publications_d0487661-f4ba-4597-93a4-1c5fdddf16d1
408797525;rug-oai-pure.rug.nl-publications_d0487661-f4ba-4597-93a4-1c5fdddf16d1
244185530;
263294900;
395258286;
269707530;
371214440;
255996616;
318937743;
38366604X;
254812600;
271426950;
411654357;
357283880;
215701100;
241609003;
323821340;
291917836;
401545350;
26971183X;
229340865;
304958239;
334538041;
239819667;
250583755;
276814495;
271606541;
250254832;
413924106;
27734655X;
237182025;
249408759;
387597859;
341013064;
408205539;
420083316;
239453719;
234647558;
257568077;
344846288;
407627650;
273776223;
240816684;
244017565;
227915666;
323545033;
326935770;
263103129;
298003058;
270206736;
387212442;
377040398;
275089460;
336132980;
29722381X;
408194294;
288586360;
227924290;
398427267;
253698421;
268230560;
245829989;
323467334;
26979087X;
405915896;
244768994;
275401162;
328759260;
322398304;
407541349;
238972569;
290557844;
297675273;
389092088;
27718603X;
393621685;
229384625;
294251715;
296103276;
297863843;
421014563;
234700556;
321602102;
240788281;
29683811X;
294221387;
248215442;
241011744;
24390794X;
245821848;
287968464;
230390234;
290850150;
352605170;
242340547;
31560039X;
238975002;
381344061;
278635474;
24133795X;
354174754;
304698717;
241064317;
343274051;
288669819;
25480943X;
274732092;
276869303;
375804676;
377038326;
332056910;
238540596;
33584460X;
298724146;
252650344;
39105094X;
258671513;
318946769;
369214064;
301183910;
377041319;
397278632;
293038600;
322468132;
395471885;
288130553;
236261304;
229404057;
255167466;
33445929X;
23947841X;
371267242;
252650018;
217048536;
264462610;
315978007;
308733207;
238974804;
238721132;
377045837;
30491553X;
245876200;
230210945;
387257594;
24396160X;
258145897;
420083146;
227925939;
327685727;
239256336;
393429776;
328673005;
292561121;
331322706;
242521843;
395410142;
388103914;
321497392;
298918455;
227734017;
256980209;
277966132;
402445430;
305734350;
284807850;
278737218;
288656857;
334344158;
213887843;
243046901;
310694027;
296105287;
270120637;
264465245;
239455592;
413148564;
228181399;
369196856;
419150404;
237144344;
377040312;
26221007X;
217292380;
420684336;
254859321;
410413380;
239459989;
38012095X;
256243514;
239365127;
41191099X;
270083138;
28795658X;
341355941;
229521207;
269779779;
289045134;
24006979X;
245996559;
252247132;
325796289;
236359029;
374569363;
408791683;
26499518X;
227027841;
404077048;
267751141;
370480074;
310702836;
273382144;
249557169;
405454066;
302525106;
411313118;
244862842;
239908619;
377285234;
308076893;
338017569;
40038468X;
23615124X;
408830964;
326892842;
23933681X;
380440598;
234934085;
378316885;
26345570X;
35206482X;
216194911;
294697063;
323046746;
413658120;
315711442;
289099145;
405092407;
271421436;
272736392;
236484931;
295846968;
410615528;
242021832;
245869913;
383609496;
212352415;
239239377;
256556911;
334216419;
387626581;
258199822;
246411856;
328592102;
288662059;
328939188;
301911304;
409724076;
24688102X;
314954732;
292784996;
330586343;
23894557X;
321889622;
216117909;
273874047;
391015109;
323467385;
409135151;
418019584;
258427183;
400396521;
27638041X;
237353504;
343277964;
352064862;
268428042;
242053351;
239003640;
355582244;
305028456;
217868177;
217914411;
275413756;
222331445;
388107138;
269451048;
297350013;
394691873;
297313134;
330501291;
278742920;
327208430;
383683424;
408740124;
292620713;
413532798;
236184911;
241823048;
297000349;
265006767;
25278233X;
298436639;
323562116;
369430301;
395980909;
383951143;
234979356;
298954508;
337694354;
408134321;
270146873;
217645895;
29785240X;
291037097;
381085945;
241392802;
242527825;
243276850;
278633897;
30348649X;
258754702;
281938342;
255776314;
254900232;
287749592;
278639755;
284196762;
255895135;
256585849;
301107378;
253693519;
269717358;
411289543;
215706285;
276956567;
230004024;
264574532;
274785420;
326555412;
381154661;
240289099;
253171083;
305045997;
244690324;
304294217;
250540959;
275132137;
252035844;
304656372;
22983034X;
251921670;
332858545;
242095437;
28840646X;
353031674;
250199327;
229340199;
274435268;
331320444;
255803648;
291062407;
324491875;
214072037;
240924908;
310542162;
345506790;
381102882;
39281840X;
236692097;
356095177;
240916794;
264406613;
277350654;
34711752X;
393623025;
288286308;
222335742;
271256494;
297994409;
295861460;
236692607;
297284541;
304152889;
420958495;
264586425;
352086041;
226344266;
276317564;
218162790;
254863957;
281883610;
304590606;
328992275;
294893539;
315977752;
285550411;
258675799;
252315782;
410958832;
408134739;
288587219;
215889665;
301797501;
227760026;
297026941;
395472253;
249558114;
303652357;
260304425;
242327982;
297400711;
252327705;
395209617;
393582426;
249562316;
263614263;
263626083;
234831952;
253723116;
269231110;
337174415;
217049206;
264412486;
241463416;
370430654;
227315561;
290721512;
239092074;
321905415;
296468770;
218189486;
271243201;
322719380;
263671429;
277921007;
396604757;
241039622;
241536227;
26941682X;
394691024;
230417108;
29283019X;
307340155;
277980763;
345863143;
255818254;
262420899;
234620781;
215700651;
237863405;
28857446X;
217224296;
268253188;
238855821;
229518818;
291927270;
390740667;
279895593;
298863057;
244022127;
339768436;
294893970;
239460847;
212373277;
316299529;
303227397;
416445225;
297263781;
315144866;
338043446;
334459702;
298042703;
288509153;
40141325X;
236182714;
265196175;
352630760;
258694351;
338888209;
329573829;
236539892;
288561996;
293084718;
311482759;
270918574;
363644539;
217867995;
213173999;
307886239;
337175403;
274454505;
347316301;
262458780;
374540152;
305032321;
357296982;
290849594;
213271869;
297127063;
33456588X;
397237626;
